# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b3
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session imported from “Hotspot+Block1.txt”	1	PMC	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:43:15.851	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	6.8525
Sample 12	Session imported from “Hotspot+Block1.txt”	12	Sample 7	176.5418	122.0371	183.8685	-0.7225	0.5205	0.4551	-0.4465	-0.8538	0.2676	0.5279	-0.0099	0.8493	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:46:06.095	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	69.6667
Sample 13	Session imported from “Hotspot+Block1.txt”	13	Sample 12	176.7362	122.4446	183.8729	-0.7287	0.4833	0.4853	-0.4244	-0.8747	0.2339	0.5375	-0.0355	0.8425	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:46:29.105	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	89.0821
Sample 14	Session imported from “Hotspot+Block1.txt”	14	Sample 12	180.3717	127.8991	183.0100	-0.7340	0.4806	0.4798	-0.4065	-0.8769	0.2564	0.5440	-0.0068	0.8391	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:46:34.550	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	69.6667
Sample 15	Session imported from “Hotspot+Block1.txt”	15	Sample 12	174.9651	117.3110	183.4596	-0.7403	0.4713	0.4794	-0.4260	-0.8805	0.2078	0.5201	-0.0504	0.8526	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:46:41.569	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	43.3990
Sample 16	Session imported from “Hotspot+Block1.txt”	16	Sample 12	180.2289	119.8105	180.6236	-0.7145	0.4871	0.5022	-0.4137	-0.8730	0.2582	0.5642	-0.0233	0.8253	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:46:47.097	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	52.5356
Sample 17	Session imported from “Hotspot+Block1.txt”	17	Sample 12	172.4268	126.3145	187.3811	-0.7347	0.4969	0.4618	-0.4087	-0.8676	0.2833	0.5414	0.0194	0.8405	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:46:53.138	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	42.2569
Sample 18	Session imported from “Hotspot+Block1.txt”	18	Sample 12	176.9964	122.5083	183.7387	-0.7655	0.4436	0.4661	-0.3952	-0.8958	0.2034	0.5078	-0.0285	0.8610	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:47:33.398	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	81.0875
Sample 19	Session imported from “Hotspot+Block1.txt”	19	Sample 12	180.4445	127.0530	182.7597	-0.7254	0.4525	0.5187	-0.3944	-0.8908	0.2255	0.5641	-0.0410	0.8247	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:47:39.082	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	84.5138
Sample 20	Session imported from “Hotspot+Block1.txt”	20	Sample 12	173.2958	124.9058	186.5041	-0.7329	0.4573	0.5038	-0.3785	-0.8893	0.2567	0.5654	-0.0026	0.8248	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:47:55.928	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	45.6831
Sample 21	Session imported from “Hotspot+Block1.txt”	21	Sample 12	174.0825	116.9813	183.9892	-0.7334	0.4535	0.5064	-0.4003	-0.8902	0.2175	0.5495	-0.0431	0.8344	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:48:01.193	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	44.5410
Sample 22	Session imported from “Hotspot+Block1.txt”	22	Sample 12	180.6572	120.0866	180.4019	-0.7202	0.4728	0.5077	-0.3830	-0.8812	0.2773	0.5785	0.0053	0.8157	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:48:08.505	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	27.4099
Sample 23	Session imported from “Hotspot+Block1.txt”	23	Sample 12	183.9657	125.7302	179.6645	-0.7169	0.4735	0.5116	-0.3668	-0.8803	0.3007	0.5928	0.0279	0.8049	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:48:15.079	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	65.0984
Sample 24	Session imported from “Hotspot+Block1.txt”	24	Sample 12	181.5807	128.8909	182.3990	-0.7243	0.4791	0.4958	-0.3695	-0.8769	0.3075	0.5821	0.0395	0.8122	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:48:21.307	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	57.1039
Sample 25	Session imported from “Hotspot+Block1.txt”	25	Sample 12	175.9042	121.6037	184.1108	-0.7771	0.4350	0.4549	-0.3632	-0.9002	0.2403	0.5140	0.0215	0.8575	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:48:41.688	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	31.9782
Sample 26	Session imported from “Hotspot+Block1.txt”	26	Sample 12	179.9691	127.1327	183.0957	-0.7533	0.4483	0.4813	-0.3478	-0.8926	0.2870	0.5582	0.0488	0.8282	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:48:48.232	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	39.9727
Sample 27	Session imported from “Hotspot+Block1.txt”	27	Sample 12	181.4154	119.8540	179.7189	-0.7427	0.4560	0.4904	-0.3810	-0.8900	0.2506	0.5507	-0.0007	0.8347	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:48:54.110	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	14.8470
Sample 28	Session imported from “Hotspot+Block1.txt”	28	Sample 12	181.7680	123.9081	180.8752	-0.7525	0.4561	0.4751	-0.3744	-0.8897	0.2611	0.5418	0.0186	0.8403	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:48:59.234	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 29	Session imported from “Hotspot+Block1.txt”	29	Sample 12	173.6790	123.9918	186.0718	-0.7942	0.4229	0.4363	-0.3519	-0.9055	0.2372	0.4954	0.0349	0.8680	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:49:05.333	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	9.1366
Sample 30	Session imported from “Hotspot+Block1.txt”	30	Sample 12	174.6786	118.1412	183.8626	-0.7763	0.4278	0.4630	-0.3682	-0.9039	0.2178	0.5117	-0.0014	0.8592	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:49:10.153	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	39.9727
Sample 31	Session imported from “Hotspot+Block1.txt”	31	Sample 12	176.5973	121.7874	183.7603	-0.7704	0.4471	0.4546	-0.3925	-0.8944	0.2145	0.5025	-0.0132	0.8645	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:49:17.619	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	69.6667
Sample 32	Session imported from “Hotspot+Block1.txt”	32	Sample 12	176.3516	122.3805	184.0863	-0.7109	0.5117	0.4824	-0.4400	-0.8588	0.2625	0.5486	-0.0256	0.8357	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:51:22.156	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	138.1914
Sample 33	Session imported from “Hotspot+Block1.txt”	33	Sample 12	176.4962	122.4308	184.0139	-0.6939	0.5343	0.4827	-0.4493	-0.8451	0.2896	0.5627	-0.0159	0.8265	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:51:31.391	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	18.2732
Sample 34	Session imported from “Hotspot+Block1.txt”	34	Sample 12	176.4730	121.9353	183.8798	-0.6996	0.5333	0.4755	-0.4359	-0.8459	0.3074	0.5662	0.0078	0.8243	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:51:39.639	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	18.2732
Sample 35	Session imported from “Hotspot+Block1.txt”	35	Sample 12	176.4524	122.1289	183.9501	-0.6966	0.5269	0.4870	-0.4405	-0.8498	0.2894	0.5663	-0.0129	0.8241	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:51:47.969	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	38.8307
Sample 36	Session imported from “Hotspot+Block1.txt”	36	Sample 12	176.2555	122.0900	184.0576	-0.7106	0.5178	0.4764	-0.4301	-0.8555	0.2883	0.5568	-0.0000	0.8306	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:51:57.636	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	27.4099
Sample 37	Session imported from “Hotspot+Block1.txt”	37	Sample 12	175.8626	121.7161	184.1750	-0.7088	0.5185	0.4783	-0.4323	-0.8551	0.2863	0.5574	-0.0038	0.8302	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:52:04.503	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	20.5574
Sample 38	Session imported from “Hotspot+Block1.txt”	38	Sample 12	176.2325	121.8942	184.0129	-0.7109	0.5239	0.4692	-0.4345	-0.8518	0.2928	0.5530	0.0043	0.8331	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:52:11.622	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	36.5465
Sample 39	Session imported from “Hotspot+Block1.txt”	39	Sample 12	176.3177	122.0411	184.0053	-0.7082	0.5262	0.4708	-0.4341	-0.8504	0.2974	0.5568	0.0062	0.8306	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:52:18.423	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	31.9782
Sample 40	Session imported from “Hotspot+Block1.txt”	40	Sample 12	176.3816	121.9695	183.9453	-0.7035	0.5278	0.4759	-0.4411	-0.8493	0.2899	0.5572	-0.0060	0.8303	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:52:26.252	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	71.9509
Sample 41	Session imported from “Hotspot+Block1.txt”	41	Sample 12	176.4879	122.3234	183.9868	-0.7059	0.5263	0.4741	-0.4365	-0.8503	0.2941	0.5579	0.0007	0.8299	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:52:33.579	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	43.3990
Sample 42	Session imported from “Hotspot+Block1.txt”	42	Sample 12	176.1766	121.9291	184.0572	-0.6988	0.5317	0.4785	-0.4408	-0.8469	0.2973	0.5633	-0.0032	0.8262	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:52:40.138	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	47.9673
Sample 43	Session imported from “Hotspot+Block1.txt”	43	Sample 12	176.1196	121.8719	184.0732	-0.6936	0.5382	0.4789	-0.4427	-0.8428	0.3060	0.5683	0.0002	0.8228	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:52:46.408	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	61.6722
Sample 44	Session imported from “Hotspot+Block1.txt”	44	Sample 12	176.4533	122.4533	184.0465	-0.7464	0.4460	0.4939	-0.3723	-0.8950	0.2456	0.5516	-0.0006	0.8341	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:53:02.301	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	58.2460
Sample 45	Session imported from “Hotspot+Block1.txt”	45	Sample 12	176.3869	122.4147	184.0752	-0.7456	0.4361	0.5038	-0.3626	-0.8999	0.2424	0.5591	-0.0019	0.8291	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:53:09.600	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	33.1203
Sample 46	Session imported from “Hotspot+Block1.txt”	46	Sample 12	176.2352	121.9596	184.0308	-0.7455	0.4395	0.5011	-0.3679	-0.8982	0.2404	0.5558	-0.0051	0.8313	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:53:15.922	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	15.9891
Sample 47	Session imported from “Hotspot+Block1.txt”	47	Sample 12	176.5454	122.6753	184.0572	-0.7333	0.4615	0.4993	-0.3888	-0.8871	0.2490	0.5578	-0.0115	0.8299	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:53:22.890	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	33.1203
Sample 48	Session imported from “Hotspot+Block1.txt”	48	Sample 12	176.1589	122.4217	184.2153	-0.7266	0.4727	0.4986	-0.4136	-0.8804	0.2319	0.5486	-0.0377	0.8352	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:53:30.943	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	31.9782
Sample 49	Session imported from “Hotspot+Block1.txt”	49	Sample 12	176.3760	122.5109	184.1106	-0.7203	0.4909	0.4901	-0.4099	-0.8712	0.2701	0.5596	-0.0063	0.8287	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:53:55.630	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	38.8307
Sample 50	Session imported from “Hotspot+Block1.txt”	50	Sample 12	176.0796	122.0410	184.1493	-0.7196	0.5062	0.4754	-0.4207	-0.8624	0.2816	0.5525	0.0026	0.8335	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:54:03.417	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	66.2405
Sample 51	Session imported from “Hotspot+Block1.txt”	51	Sample 12	176.1235	122.0829	184.1353	-0.7229	0.5012	0.4757	-0.4160	-0.8653	0.2796	0.5517	0.0042	0.8340	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:54:10.103	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	45.6831
Sample 52	Session imported from “Hotspot+Block1.txt”	52	Sample 12	175.9163	122.0015	184.2364	-0.7233	0.4999	0.4764	-0.4160	-0.8661	0.2772	0.5512	0.0023	0.8344	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:54:17.124	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	44.5410
Sample 53	Session imported from “Hotspot+Block1.txt”	53	Sample 12	176.1170	122.3966	184.2332	-0.7253	0.4943	0.4792	-0.4116	-0.8693	0.2736	0.5518	0.0012	0.8340	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:54:24.423	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	29.6940
Sample 54	Session imported from “Hotspot+Block1.txt”	54	Sample 12	176.1868	122.0377	184.0835	-0.7263	0.4956	0.4763	-0.4156	-0.8685	0.2700	0.5475	-0.0018	0.8368	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:54:31.985	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	79.9454
Sample 55	Session imported from “Hotspot+Block1.txt”	55	Sample 12	175.8987	121.9705	184.2380	-0.7271	0.4952	0.4755	-0.4162	-0.8688	0.2684	0.5460	-0.0027	0.8378	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:54:38.939	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	53.6777
Sample 56	Session imported from “Hotspot+Block1.txt”	56	Sample 12	175.8465	122.0937	184.3069	-0.7313	0.4905	0.4739	-0.4176	-0.8714	0.2574	0.5392	-0.0097	0.8421	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:54:46.853	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	274.0987
Sample 57	Session imported from “Hotspot+Block1.txt”	57	Sample 12	176.1451	122.3162	184.1920	-0.7308	0.4893	0.4759	-0.4203	-0.8720	0.2510	0.5378	-0.0166	0.8429	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:54:53.779	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	60.5301
Sample 58	Session imported from “Hotspot+Block1.txt”	58	Sample 12	176.4839	122.5099	184.0450	-0.7267	0.4906	0.4808	-0.4251	-0.8710	0.2463	0.5396	-0.0254	0.8415	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:55:01.801	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	71.9509
Sample 59	Session imported from “Hotspot+Block1.txt”	59	Sample 12	176.2428	122.3149	184.1325	-0.7243	0.4906	0.4844	-0.4266	-0.8709	0.2442	0.5417	-0.0298	0.8401	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:55:09.505	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	78.8034
Sample 60	Session imported from “Hotspot+Block1.txt”	60	Sample 12	176.2976	122.1714	184.0564	-0.7239	0.4912	0.4845	-0.4277	-0.8705	0.2435	0.5414	-0.0310	0.8402	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	12:55:16.192	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	142.7597
Sample 61	Session imported from “Hotspot+Block1.txt”	61	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:40.334	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	27.4099
Sample 62	Session imported from “Hotspot+Block1.txt”	62	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:40.432	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	29.6940
Sample 63	Session imported from “Hotspot+Block1.txt”	63	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:40.530	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 64	Session imported from “Hotspot+Block1.txt”	64	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:40.641	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	26.2678
Sample 65	Session imported from “Hotspot+Block1.txt”	65	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:40.739	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	29.6940
Sample 66	Session imported from “Hotspot+Block1.txt”	66	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:40.837	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 67	Session imported from “Hotspot+Block1.txt”	67	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:40.935	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	29.6940
Sample 68	Session imported from “Hotspot+Block1.txt”	68	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:41.032	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 69	Session imported from “Hotspot+Block1.txt”	69	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:41.130	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	29.6940
Sample 70	Session imported from “Hotspot+Block1.txt”	70	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:41.241	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 71	Session imported from “Hotspot+Block1.txt”	71	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:41.338	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	29.6940
Sample 72	Session imported from “Hotspot+Block1.txt”	72	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:41.436	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	30.8361
Sample 73	Session imported from “Hotspot+Block1.txt”	73	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:41.533	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	28.5519
Sample 74	Session imported from “Hotspot+Block1.txt”	74	PMC0.5	203.4310	100.1373	143.3633	-0.5753	-0.8165	-0.0492	0.8109	-0.5772	0.0963	-0.1070	0.0155	0.9941	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-09-22	13:47:41.630	TTL1	Pointer	0.0000	(null)	1	10.0000	90.0000	28.5519
